"Analysis ID","Analysis name","Strata ID","Strata name","Target cohort ID","Target cohort name","Comparator cohort ID","Comparator cohort name","Covariate ID","Covariate name","Covariate short name","Target count","Target percent","Comparator count","Comparator percent","Std. Diff Of Mean"
"15","DrugGroupEraAnyTimePrior","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","1770327","Graham replication:  dabigatran new users with prior atrial fibrillation","19077884409","drug_era group any time prior through 0 days relative to index: Sodium Acetate"," Sodium Acetate","4","1.9900497512437811","0","0","0.2015"
"15","DrugGroupEraAnyTimePrior","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","1770327","Graham replication:  dabigatran new users with prior atrial fibrillation","21602229409","drug_era group any time prior through 0 days relative to index: Quaternary ammonium compounds"," Quaternary ammonium compounds","3","1.4925373134328357","0","0","0.1741"
"15","DrugGroupEraAnyTimePrior","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","1770327","Graham replication:  dabigatran new users with prior atrial fibrillation","21602882409","drug_era group any time prior through 0 days relative to index: Second-generation cephalosporins"," Second-generation cephalosporins","37","18.407960199004975","0","0","0.6717"
"15","DrugGroupEraAnyTimePrior","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","1770327","Graham replication:  dabigatran new users with prior atrial fibrillation","21602759409","drug_era group any time prior through 0 days relative to index: ANTITHYROID PREPARATIONS"," ANTITHYROID PREPARATIONS","26","12.935323383084576","0","0","0.5451"
"15","DrugGroupEraAnyTimePrior","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","1770327","Graham replication:  dabigatran new users with prior atrial fibrillation","19046180409","drug_era group any time prior through 0 days relative to index: Carbon Dioxide"," Carbon Dioxide","7","3.482587064676617","0","0","0.2686"
"15","DrugGroupEraAnyTimePrior","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","1770327","Graham replication:  dabigatran new users with prior atrial fibrillation","21601617409","drug_era group any time prior through 0 days relative to index: Local anesthetics"," Local anesthetics","17","8.45771144278607","0","0","0.4299"
"15","DrugGroupEraAnyTimePrior","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","1770327","Graham replication:  dabigatran new users with prior atrial fibrillation","40161993409","drug_era group any time prior through 0 days relative to index: mugwort sage pollen extract"," mugwort sage pollen extract","5","2.4875621890547266","0","0","0.2259"
"15","DrugGroupEraAnyTimePrior","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","1770327","Graham replication:  dabigatran new users with prior atrial fibrillation","1713332409","drug_era group any time prior through 0 days relative to index: Amoxicillin"," Amoxicillin","66","32.83582089552239","0","0","0.9888"
"15","DrugGroupEraAnyTimePrior","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","1770327","Graham replication:  dabigatran new users with prior atrial fibrillation","21603617409","drug_era group any time prior through 0 days relative to index: Corticosteroids, plain"," Corticosteroids, plain","114","56.71641791044776","0","0","1.6189"
"15","DrugGroupEraAnyTimePrior","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","1770327","Graham replication:  dabigatran new users with prior atrial fibrillation","21604472409","drug_era group any time prior through 0 days relative to index: Dopamine agonists"," Dopamine agonists","23","11.442786069651742","0","0","0.5084"
"15","DrugGroupEraAnyTimePrior","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","1770327","Graham replication:  dabigatran new users with prior atrial fibrillation","21605125409","drug_era group any time prior through 0 days relative to index: OTHER OPHTHALMOLOGICALS"," OTHER OPHTHALMOLOGICALS","106","52.736318407960205","0","0","1.4938"
"15","DrugGroupEraAnyTimePrior","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","1770327","Graham replication:  dabigatran new users with prior atrial fibrillation","21603248409","drug_era group any time prior through 0 days relative to index: DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES"," DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES","131","65.17412935323384","0","0","1.9346"
"15","DrugGroupEraAnyTimePrior","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","1770327","Graham replication:  dabigatran new users with prior atrial fibrillation","21601822409","drug_era group any time prior through 0 days relative to index: ANGIOTENSIN II ANTAGONISTS, PLAIN"," ANGIOTENSIN II ANTAGONISTS, PLAIN","120","59.70149253731343","0","0","1.7213"
"15","DrugGroupEraAnyTimePrior","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","1770327","Graham replication:  dabigatran new users with prior atrial fibrillation","21604390409","drug_era group any time prior through 0 days relative to index: ANTIEPILEPTICS"," ANTIEPILEPTICS","131","65.17412935323384","0","0","1.9346"
"15","DrugGroupEraAnyTimePrior","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","1770327","Graham replication:  dabigatran new users with prior atrial fibrillation","966468409","drug_era group any time prior through 0 days relative to index: Halcinonide"," Halcinonide","4","1.9900497512437811","0","0","0.2015"
"15","DrugGroupEraAnyTimePrior","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","1770327","Graham replication:  dabigatran new users with prior atrial fibrillation","21600800409","drug_era group any time prior through 0 days relative to index: VITAMINS"," VITAMINS","27","13.432835820895523","0","0","0.5571"
"15","DrugGroupEraAnyTimePrior","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","1770327","Graham replication:  dabigatran new users with prior atrial fibrillation","21603819409","drug_era group any time prior through 0 days relative to index: Progestogens"," Progestogens","19","9.45273631840796","0","0","0.4569"
"15","DrugGroupEraAnyTimePrior","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","1770327","Graham replication:  dabigatran new users with prior atrial fibrillation","19037038409","drug_era group any time prior through 0 days relative to index: Calcium Gluconate"," Calcium Gluconate","7","3.482587064676617","0","0","0.2686"
"15","DrugGroupEraAnyTimePrior","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","1770327","Graham replication:  dabigatran new users with prior atrial fibrillation","997276409","drug_era group any time prior through 0 days relative to index: Cimetidine"," Cimetidine","30","14.925373134328357","0","0","0.5923"
"15","DrugGroupEraAnyTimePrior","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","1770327","Graham replication:  dabigatran new users with prior atrial fibrillation","19067073409","drug_era group any time prior through 0 days relative to index: Helium"," Helium","10","4.975124378109453","0","0","0.3236"
"15","DrugGroupEraAnyTimePrior","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","1770327","Graham replication:  dabigatran new users with prior atrial fibrillation","21600554409","drug_era group any time prior through 0 days relative to index: Bulk-forming laxatives"," Bulk-forming laxatives","7","3.482587064676617","0","0","0.2686"
