"Analysis ID","Analysis name","Strata ID","Strata name","Cohort ID","Cohort name","Covariate ID","Covariate name","Covariate short name","Count","Percent"
"28","DrugExposureAnyTimePrior","8","Male","35","[demo] celecoxib new users","19019156301","drug_exposure any time prior through 0 days relative to index: Methyclothiazide 2.5 MG Oral Tablet"," Methyclothiazide 2.5 MG Oral Tablet","11","1.926444833625219"
"28","DrugExposureAnyTimePrior","8","Male","35","[demo] celecoxib new users","19072933301","drug_exposure any time prior through 0 days relative to index: Alprazolam 0.25 MG Oral Tablet"," Alprazolam 0.25 MG Oral Tablet","21","3.677758318739054"
"28","DrugExposureAnyTimePrior","9","Age > 30","35","[demo] celecoxib new users","715940301","drug_exposure any time prior through 0 days relative to index: Escitalopram 10 MG Oral Tablet"," Escitalopram 10 MG Oral Tablet","15","1.0148849797023005"
"28","DrugExposureAnyTimePrior","9","Age > 30","35","[demo] celecoxib new users","40226593301","drug_exposure any time prior through 0 days relative to index: estradiol cypionate 2 MG/ML / testosterone cypionate 50 MG/ML Injectable Solution"," estradiol cypionate 2 MG/ML / testosterone cypionate 50 MG/ML Injectable Solution","44","2.9769959404600814"
"28","DrugExposureAnyTimePrior","9","Age > 30","35","[demo] celecoxib new users","40167202301","drug_exposure any time prior through 0 days relative to index: Metoprolol Tartrate 100 MG Oral Tablet"," Metoprolol Tartrate 100 MG Oral Tablet","166","11.231393775372124"
"28","DrugExposureAnyTimePrior","8","Male","35","[demo] celecoxib new users","40162849301","drug_exposure any time prior through 0 days relative to index: Bethanechol Chloride 50 MG Oral Tablet"," Bethanechol Chloride 50 MG Oral Tablet","8","1.4010507880910683"
"28","DrugExposureAnyTimePrior","8","Male","35","[demo] celecoxib new users","40175007301","drug_exposure any time prior through 0 days relative to index: Levothyroxine Sodium 0.125 MG Oral Tablet [Levoxyl]"," Levothyroxine Sodium 0.125 MG Oral Tablet [Levoxyl]","7","1.2259194395796849"
"28","DrugExposureAnyTimePrior","8","Male","35","[demo] celecoxib new users","743718301","drug_exposure any time prior through 0 days relative to index: venlafaxine 25 MG Oral Tablet"," venlafaxine 25 MG Oral Tablet","6","1.0507880910683012"
"28","DrugExposureAnyTimePrior","8","Male","35","[demo] celecoxib new users","40165789301","drug_exposure any time prior through 0 days relative to index: Enalapril Maleate 5 MG Oral Tablet"," Enalapril Maleate 5 MG Oral Tablet","76","13.309982486865149"
"28","DrugExposureAnyTimePrior","9","Age > 30","35","[demo] celecoxib new users","1383850301","drug_exposure any time prior through 0 days relative to index: 24 HR Isosorbide Mononitrate 120 MG Extended Release Oral Tablet"," 24 HR Isosorbide Mononitrate 120 MG Extended Release Oral Tablet","30","2.029769959404601"
"28","DrugExposureAnyTimePrior","0","All stratas","35","[demo] celecoxib new users","723042301","drug_exposure any time prior through 0 days relative to index: Diazepam 5 MG Oral Tablet"," Diazepam 5 MG Oral Tablet","93","6.245802552048355"
"28","DrugExposureAnyTimePrior","8","Male","35","[demo] celecoxib new users","19018819301","drug_exposure any time prior through 0 days relative to index: Betamethasone 1 MG/ML Topical Cream"," Betamethasone 1 MG/ML Topical Cream","9","1.5761821366024518"
"28","DrugExposureAnyTimePrior","8","Male","35","[demo] celecoxib new users","1395060301","drug_exposure any time prior through 0 days relative to index: Atenolol 50 MG / Chlorthalidone 25 MG Oral Tablet"," Atenolol 50 MG / Chlorthalidone 25 MG Oral Tablet","34","5.954465849387041"
"28","DrugExposureAnyTimePrior","8","Male","35","[demo] celecoxib new users","40167259301","drug_exposure any time prior through 0 days relative to index: POLYETHYLENE GLYCOL 3350 17000 MG Powder for Oral Solution"," POLYETHYLENE GLYCOL 3350 17000 MG Powder for Oral Solution","3","0.5253940455341506"
"28","DrugExposureAnyTimePrior","8","Male","35","[demo] celecoxib new users","19123173301","drug_exposure any time prior through 0 days relative to index: pregabalin 75 MG Oral Capsule [Lyrica]"," pregabalin 75 MG Oral Capsule [Lyrica]","11","1.926444833625219"
"28","DrugExposureAnyTimePrior","0","All stratas","35","[demo] celecoxib new users","19019856301","drug_exposure any time prior through 0 days relative to index: Thioridazine 100 MG Oral Tablet"," Thioridazine 100 MG Oral Tablet","58","3.895231699126931"
"28","DrugExposureAnyTimePrior","9","Age > 30","35","[demo] celecoxib new users","19058921301","drug_exposure any time prior through 0 days relative to index: calcium lactate 650 MG Oral Tablet"," calcium lactate 650 MG Oral Tablet","17","1.1502029769959403"
"28","DrugExposureAnyTimePrior","0","All stratas","35","[demo] celecoxib new users","1310317301","drug_exposure any time prior through 0 days relative to index: Cyclophosphamide"," Cyclophosphamide","18","1.208865010073875"
"28","DrugExposureAnyTimePrior","0","All stratas","35","[demo] celecoxib new users","19080187301","drug_exposure any time prior through 0 days relative to index: Metronidazole 250 MG Oral Tablet"," Metronidazole 250 MG Oral Tablet","166","11.148421759570182"
"28","DrugExposureAnyTimePrior","9","Age > 30","35","[demo] celecoxib new users","19121242301","drug_exposure any time prior through 0 days relative to index: Omega-3 Acid Ethyl Esters (USP) 1000 MG Oral Capsule"," Omega-3 Acid Ethyl Esters (USP) 1000 MG Oral Capsule","8","0.5412719891745602"
"28","DrugExposureAnyTimePrior","0","All stratas","35","[demo] celecoxib new users","40224875301","drug_exposure any time prior through 0 days relative to index: Doxepin Hydrochloride 10 MG Oral Capsule"," Doxepin Hydrochloride 10 MG Oral Capsule","63","4.231027535258563"
"28","DrugExposureAnyTimePrior","8","Male","35","[demo] celecoxib new users","1363057301","drug_exposure any time prior through 0 days relative to index: Doxazosin 1 MG Oral Tablet"," Doxazosin 1 MG Oral Tablet","12","2.1015761821366024"
"28","DrugExposureAnyTimePrior","0","All stratas","35","[demo] celecoxib new users","40163754301","drug_exposure any time prior through 0 days relative to index: Fosinopril Sodium 10 MG Oral Tablet [Monopril]"," Fosinopril Sodium 10 MG Oral Tablet [Monopril]","14","0.9402283411685695"
"28","DrugExposureAnyTimePrior","8","Male","35","[demo] celecoxib new users","19082350301","drug_exposure any time prior through 0 days relative to index: 24 HR Isosorbide Mononitrate 30 MG Extended Release Oral Tablet"," 24 HR Isosorbide Mononitrate 30 MG Extended Release Oral Tablet","18","3.1523642732049035"
"28","DrugExposureAnyTimePrior","8","Male","35","[demo] celecoxib new users","40164717301","drug_exposure any time prior through 0 days relative to index: Hydrocodone Bitartrate 7.5 MG / Ibuprofen 200 MG Oral Tablet [Vicoprofen]"," Hydrocodone Bitartrate 7.5 MG / Ibuprofen 200 MG Oral Tablet [Vicoprofen]","7","1.2259194395796849"
"28","DrugExposureAnyTimePrior","0","All stratas","35","[demo] celecoxib new users","733531301","drug_exposure any time prior through 0 days relative to index: rivastigmine 6 MG Oral Capsule"," rivastigmine 6 MG Oral Capsule","12","0.8059100067159166"
"28","DrugExposureAnyTimePrior","0","All stratas","35","[demo] celecoxib new users","19096678301","drug_exposure any time prior through 0 days relative to index: valsartan 160 MG Oral Tablet"," valsartan 160 MG Oral Tablet","172","11.55137676292814"
"28","DrugExposureAnyTimePrior","0","All stratas","35","[demo] celecoxib new users","1237231301","drug_exposure any time prior through 0 days relative to index: Theophylline 300 MG Extended Release Oral Tablet"," Theophylline 300 MG Extended Release Oral Tablet","188","12.62592343854936"
"28","DrugExposureAnyTimePrior","8","Male","35","[demo] celecoxib new users","1547510301","drug_exposure any time prior through 0 days relative to index: rosiglitazone 8 MG Oral Tablet"," rosiglitazone 8 MG Oral Tablet","15","2.626970227670753"
"28","DrugExposureAnyTimePrior","8","Male","35","[demo] celecoxib new users","40165994301","drug_exposure any time prior through 0 days relative to index: Glyburide 1.25 MG / Metformin hydrochloride 250 MG Oral Tablet"," Glyburide 1.25 MG / Metformin hydrochloride 250 MG Oral Tablet","11","1.926444833625219"
"28","DrugExposureAnyTimePrior","0","All stratas","35","[demo] celecoxib new users","1308250301","drug_exposure any time prior through 0 days relative to index: Lisinopril 2.5 MG Oral Tablet"," Lisinopril 2.5 MG Oral Tablet","83","5.574210879785091"
"28","DrugExposureAnyTimePrior","0","All stratas","35","[demo] celecoxib new users","974226301","drug_exposure any time prior through 0 days relative to index: Hydrochlorothiazide 25 MG / Spironolactone 25 MG Oral Tablet"," Hydrochlorothiazide 25 MG / Spironolactone 25 MG Oral Tablet","143","9.603760913364674"
"28","DrugExposureAnyTimePrior","9","Age > 30","35","[demo] celecoxib new users","1636780301","drug_exposure any time prior through 0 days relative to index: Testosterone"," Testosterone","16","1.0825439783491204"
"28","DrugExposureAnyTimePrior","8","Male","35","[demo] celecoxib new users","40162573301","drug_exposure any time prior through 0 days relative to index: Acetaminophen 650 MG / Hydrocodone Bitartrate 7.5 MG Oral Tablet"," Acetaminophen 650 MG / Hydrocodone Bitartrate 7.5 MG Oral Tablet","16","2.8021015761821366"
"28","DrugExposureAnyTimePrior","8","Male","35","[demo] celecoxib new users","19077083301","drug_exposure any time prior through 0 days relative to index: Estrogens, Conjugated (USP) 0.625 MG Oral Tablet"," Estrogens, Conjugated (USP) 0.625 MG Oral Tablet","12","2.1015761821366024"
